Castellano,Aurebesh
lunar,lethusknernaurekresh
luto,lethusktrillosk
madre,mermaurekdornreshesk
magia,mermaurekgrekiskaurek
mapa,mermaurekpethaurek
marco,mermaurekreshcreshosk
media,mermeskdorniskaurek
medio,mermeskdorniskosk
mesa,mermesksenthaurek
metro,mermesktrillreshosk
miercoles,mermiskeskreshcreshosklethesksenth
mil,mermiskleth
milagro,mermisklethaurekgrekreshosk
minuto,mermisknernusktrillosk
mitad,mermisktrillaurekdorn
modo,mermoskdornosk
moho,mermoskherfosk
mono,mermosknernosk
moro,mermoskreshosk
moto,mermosktrillosk
mucho,mermuskcreshherfosk
mudar,mermuskdornaurekresh
mujer,mermuskjentheskresh
mundo,mermusknerndornosk
musica,mermusksenthiskcreshaurek
nariz,nernaurekreshiskzerek
neon,nerneskosknern
nieve,nerniskeskvevesk
noche,nernoskcreshherfesk
norte,nernoskreshtrillesk
nota,nernosktrillaurek
nuevo,nernuskeskvevosk
nudo,nernuskdornosk
numero,nernuskmermeskreshosk
obra,oskbeshreshaurek
oeste,oskesksenthtrillesk
once,osknerncreshesk
oro,oskreshosk
oscuridad,osksenthcreshuskreshiskdornaurekdorn
osito,osksenthisktrillosk
otro,osktrillreshosk
ovalo,oskvevaureklethosk
pago,pethaurekgrekosk
palo,pethaureklethosk
papel,pethaurekpetheskleth
para,pethaurekreshaurek
pared,pethaurekresheskdorn
paso,pethaureksenthosk
pasto,pethaureksenthtrillosk
paz,pethaurekzerek
quien,qekuskiskesknern
quitar,qekuskisktrillaurekresh
quimica,qekuskiskmermiskcreshaurek
queso,qekuskesksenthosk
quieto,qekuskiskesktrillosk
quedar,qekuskeskdornaurekresh
quince,qekuskisknerncreshesk
quejar,qekuskeskjenthaurekresh
quebrar,qekuskeskbeshreshaurekresh
querer,qekuskeskresheskresh
quiza,qekuskiskzerekaurek
rabia,reshaurekbeshiskaurek
rabo,reshaurekbeshosk
raro,reshaurekreshosk
rayo,reshaurekyirtosk
razon,reshaurekzerekosknern
rato,reshaurektrillosk
real,resheskaurekleth
rebelde,resheskbeshesklethdornesk
rechazo,resheskcreshherfaurekzerekosk
reconocer,resheskcreshosknernoskcresheskresh
recordar,resheskcreshoskreshdornaurekresh
recuerdo,resheskcreshuskeskreshdornosk
recurso,resheskcreshuskreshsenthosk
redondo,resheskdornosknerndornosk
reflejo,resheskfornletheskjenthosk
regalo,resheskgrekaureklethosk
regresar,resheskgrekreshesksenthaurekresh
relampago,reshesklethaurekmermpethaurekgrekosk
religion,reshesklethiskgrekiskosknern
remedio,resheskmermeskdorniskosk
remolque,resheskmermosklethqekuskesk
renovar,reshesknernoskvevaurekresh
renta,reshesknerntrillaurek
reparar,resheskpethaurekreshaurekresh
repetir,resheskpethesktrilliskresh
rescatar,reshesksenthcreshaurektrillaurekresh
residuo,reshesksenthiskdornuskosk
resolver,reshesksenthosklethveveskresh
respeto,reshesksenthpethesktrillosk
resultado,reshesksenthusklethtrillaurekdornosk
retirar,reshesktrilliskreshaurekresh
retorno,reshesktrilloskreshnernosk
reunion,resheskusknerniskosknern
reves,resheskvevesksenth
reyes,resheskyirtesksenth
rico,reshiskcreshosk
rienda,reshiskesknerndornaurek
riesgo,reshiskesksenthgrekosk
rigidez,reshiskgrekiskdorneskzerek
rincon,reshisknerncreshosknern
riqueza,reshiskqekuskeskzerekaurek
risa,reshisksenthaurek
ritmo,reshisktrillmermosk
robusto,reshoskbeshusksenthtrillosk
roca,reshoskcreshaurek
rodar,reshoskdornaurekresh
rodear,reshoskdorneskaurekresh
rojo,reshoskjenthosk
roto,reshosktrillosk
ruido,reshuskiskdornosk
ruina,reshuskisknernaurek
ruleta,reshusklethesktrillaurek
rumbo,reshuskmermbeshosk
ruptura,reshuskpethtrilluskreshaurek
saber,senthaurekbesheskresh
sabor,senthaurekbeshoskresh
sacar,senthaurekcreshaurekresh
sacrificio,senthaurekcreshreshiskforniskcreshiskosk
sagrado,senthaurekgrekreshaurekdornosk
salado,senthaureklethaurekdornosk
saldo,senthaureklethdornosk
salir,senthaureklethiskresh
saltar,senthaureklethtrillaurekresh
salud,senthaureklethuskdorn
sangre,senthaureknerngrekreshesk
sanidad,senthaureknerniskdornaurekdorn
sano,senthaureknernosk
satisfaccion,senthaurektrillisksenthfornaurekcreshcreshiskosknern
saxofon,senthaurekxeshoskfornosknern
secreto,sentheskcreshreshesktrillosk
seguir,sentheskgrekuskiskresh
semana,sentheskmermaureknernaurek
semilla,sentheskmermisklethlethaurek
senda,senthesknerndornaurek
sendero,senthesknerndorneskreshosk
separar,sentheskpethaurekreshaurekresh
sepia,sentheskpethiskaurek
sereno,sentheskreshesknernosk
serie,sentheskreshiskesk
serpiente,sentheskreshpethiskesknerntrillesk
servir,sentheskreshveviskresh
setenta,senthesktrillesknerntrillaurek
severo,sentheskveveskreshosk
sexo,sentheskxeshosk
siempre,senthiskeskmermpethreshesk
siete,senthiskesktrillesk
siglo,senthiskgreklethosk
signo,senthiskgreknernosk
silencio,senthisklethesknerncreshiskosk
silla,senthisklethlethaurek
sillon,senthisklethlethosknern
simbolo,senthiskmermbeshosklethosk
simple,senthiskmermpethlethesk
sinonimo,senthisknernosknerniskmermosk
sistema,senthisksenthtrilleskmermaurek
sitio,senthisktrilliskosk
sobre,senthoskbeshreshesk
socio,senthoskcreshiskosk
sofa,senthoskfornaurek
solucion,senthosklethuskcreshiskosknern
sombra,senthoskmermbeshreshaurek
sonido,senthosknerniskdornosk
sopa,senthoskpethaurek
sorpresa,senthoskreshpethreshesksenthaurek
sostener,senthosksenthtrillesknerneskresh
soy,senthoskyirt
suave,senthuskaurekvevesk
subir,senthuskbeshiskresh
sudor,senthuskdornoskresh
sueco,senthuskeskcreshosk
suelo,senthuskesklethosk
sujeto,senthuskjenthesktrillosk
suma,senthuskmermaurek
superar,senthuskpetheskreshaurekresh
suponer,senthuskpethosknerneskresh
surco,senthuskreshcreshosk
susto,senthusksenthtrillosk
tabaco,trillaurekbeshaurekcreshosk
tabla,trillaurekbeshlethaurek
tactica,trillaurekcreshtrilliskcreshaurek
talento,trillaureklethesknerntrillosk
tamano,trillaurekmermaureknernosk
tampoco,trillaurekmermpethoskcreshosk
tanque,trillaureknernqekuskesk
tarde,trillaurekreshdornesk
tarea,trillaurekresheskaurek
tarifa,trillaurekreshiskfornaurek
taza,trillaurekzerekaurek
tejido,trilleskjenthiskdornosk
tele,trillesklethesk
telefono,trilleskletheskfornosknernosk
tema,trilleskmermaurek
temor,trilleskmermoskresh
templo,trilleskmermpethlethosk
tener,trillesknerneskresh
tentar,trillesknerntrillaurekresh
teoria,trilleskoskreshiskaurek
terapia,trilleskreshaurekpethiskaurek
tercero,trilleskreshcresheskreshosk
termometro,trilleskreshmermoskmermesktrillreshosk
terror,trilleskreshreshoskresh
tesis,trillesksenthisksenth
testigo,trillesksenthtrilliskgrekosk
texto,trilleskxeshtrillosk
tiempo,trilliskeskmermpethosk
tierra,trilliskeskreshreshaurek
tigre,trilliskgrekreshesk
tijera,trilliskjentheskreshaurek
tipico,trilliskpethiskcreshosk
tipo,trilliskpethosk
tirar,trilliskreshaurekresh
titulo,trillisktrillusklethosk
tocar,trilloskcreshaurekresh
todavia,trilloskdornaurekveviskaurek
todo,trilloskdornosk
toma,trilloskmermaurek
tomate,trilloskmermaurektrillesk
tono,trillosknernosk
topo,trilloskpethosk
tormenta,trilloskreshmermesknerntrillaurek
torno,trilloskreshnernosk
torre,trilloskreshreshesk
tortuga,trilloskreshtrilluskgrekaurek
tosco,trillosksenthcreshosk
total,trillosktrillaurekleth
trabajo,trillreshaurekbeshaurekjenthosk
tragar,trillreshaurekgrekaurekresh
tramite,trillreshaurekmermisktrillesk
trampa,trillreshaurekmermpethaurek
trance,trillreshaureknerncreshesk
tranquilo,trillreshaureknernqekuskisklethosk
transferir,trillreshaureknernsenthforneskreshiskresh
trasero,trillreshaureksentheskreshosk
trasladar,trillreshaureksenthlethaurekdornaurekresh
trato,trillreshaurektrillosk
trauma,trillreshaurekuskmermaurek
trazar,trillreshaurekzerekaurekresh
trece,trillresheskcreshesk
tregua,trillresheskgrekuskaurek
treinta,trillresheskisknerntrillaurek
trenza,trillreshesknernzerekaurek
tres,trillreshesksenth
tribu,trillreshiskbeshusk
trigo,trillreshiskgrekosk
tripa,trillreshiskpethaurek
tristeza,trillreshisksenthtrilleskzerekaurek
triunfo,trillreshiskusknernfornosk
trofeo,trillreshoskforneskosk
trompeta,trillreshoskmermpethesktrillaurek
tropa,trillreshoskpethaurek
trotar,trillreshosktrillaurekresh
trueno,trillreshuskesknernosk
trufa,trillreshuskfornaurek
tuerto,trilluskeskreshtrillosk
tumba,trilluskmermbeshaurek
tumor,trilluskmermoskresh
tunel,trillusknerneskleth
turismo,trilluskreshisksenthmermosk
turno,trilluskreshnernosk
ubicar,uskbeshiskcreshaurekresh
unidad,usknerniskdornaurekdorn
unir,usknerniskresh
uno,usknernosk
untar,usknerntrillaurekresh
urgente,uskreshgrekesknerntrillesk
usar,usksenthaurekresh
usuario,usksenthuskaurekreshiskosk
usual,usksenthuskaurekleth
vacio,vevaurekcreshiskosk
vago,vevaurekgrekosk
vaina,vevaurekisknernaurek
valentia,vevaureklethesknerntrilliskaurek
valle,vevaureklethlethesk
valor,vevaureklethoskresh
vapor,vevaurekpethoskresh
vara,vevaurekreshaurek
variar,vevaurekreshiskaurekresh
vaso,vevaureksenthosk
vecino,veveskcreshisknernosk
vector,veveskcreshtrilloskresh
vehiculo,veveskherfiskcreshusklethosk
veinte,veveskisknerntrillesk
vejez,veveskjentheskzerek
vela,vevesklethaurek
velero,veveskletheskreshosk
velocidad,vevesklethoskcreshiskdornaurekdorn
vena,vevesknernaurek
vencer,vevesknerncresheskresh
venda,vevesknerndornaurek
vender,vevesknerndorneskresh
veneno,vevesknernesknernosk
venganza,vevesknerngrekaureknernzerekaurek
venir,vevesknerniskresh
venta,vevesknerntrillaurek
ventaja,vevesknerntrillaurekjenthaurek
verano,veveskreshaureknernosk
verdad,veveskreshdornaurekdorn
verde,veveskreshdornesk
vereda,veveskresheskdornaurek
verja,veveskreshjenthaurek
verso,veveskreshsenthosk
verter,veveskreshtrilleskresh
vestido,vevesksenthtrilliskdornosk
veterano,vevesktrilleskreshaureknernosk
vez,veveskzerek
viaje,veviskaurekjenthesk
vibracion,veviskbeshreshaurekcreshiskosknern
victima,veviskcreshtrilliskmermaurek
vida,veviskdornaurek
viejo,veviskeskjenthosk
viernes,veviskeskreshnernesksenth
vigor,veviskgrekoskresh
vil,veviskleth
villa,vevisklethlethaurek
vinagre,vevisknernaurekgrekreshesk
vino,vevisknernosk
violencia,veviskosklethesknerncreshiskaurek
virgen,veviskreshgrekesknern
virtud,veviskreshtrilluskdorn
visor,vevisksenthoskresh
vista,vevisksenthtrillaurek
vitamina,vevisktrillaurekmermisknernaurek
viuda,veviskuskdornaurek
vivir,veviskveviskresh
vocal,vevoskcreshaurekleth
voz,vevoskzerek
vuelo,vevuskesklethosk
vulgar,vevusklethgrekaurekresh
yegua,yirteskgrekuskaurek
yerno,yirteskreshnernosk
yeso,yirtesksenthosk
yodo,yirtoskdornosk
yoga,yirtoskgrekaurek
yogur,yirtoskgrekuskresh
yunque,yirtusknernqekuskesk
zapato,zerekaurekpethaurektrillosk
zarza,zerekaurekreshzerekaurek
zona,zerekosknernaurek
zoom,zerekoskoskmerm
zorro,zerekoskreshreshosk
zumo,zerekuskmermosk
zurdo,zerekuskreshdornosk
zanahoria,zerekaureknernaurekherfoskreshiskaurek
zapateria,zerekaurekpethaurektrilleskreshiskaurek
zarpar,zerekaurekreshpethaurekresh
zebra,zerekeskbeshreshaurek
zigzag,zerekiskgrekzerekaurekgrek
zona,zerekosknernaurek
zoologico,zerekoskosklethoskgrekiskcreshosk
zumbar,zerekuskmermbeshaurekresh
zumo,zerekuskmermosk
abadesa,aurekbeshaurekdornesksenthaurek
abalorio,aurekbeshaureklethoskreshiskosk
abdominal,aurekbeshdornoskmermisknernaurekleth
abolladura,aurekbeshosklethlethaurekdornuskreshaurek
abominable,aurekbeshoskmermisknernaurekbeshlethesk
abrevadero,aurekbeshresheskvevaurekdorneskreshosk
abrumador,aurekbeshreshuskmermaurekdornoskresh
abstencion,aurekbeshsenthtrillesknerncreshiskosknern
abundancia,aurekbeshusknerndornaureknerncreshiskaurek
aburrido,aurekbeshuskreshreshiskdornosk
acantilado,aurekcreshaureknerntrillisklethaurekdornosk
acariciar,aurekcreshaurekreshiskcreshiskaurekresh
aceituna,aurekcresheskisktrillusknernaurek
acelerar,aurekcresheskletheskreshaurekresh
acompanar,aurekcreshoskmermpethaureknernaurekresh
acontecimiento,aurekcreshosknerntrilleskcreshiskmermiskesknerntrillosk
acordeon,aurekcreshoskreshdorneskosknern
acostumbrar,aurekcreshosksenthtrilluskmermbeshreshaurekresh
acrobatico,aurekcreshreshoskbeshaurektrilliskcreshosk
actitud,aurekcreshtrillisktrilluskdorn
actualizar,aurekcreshtrilluskaureklethiskzerekaurekresh
acuatico,aurekcreshuskaurektrilliskcreshosk
adentro,aurekdornesknerntrillreshosk
adherente,aurekdornherfeskreshesknerntrillesk
adios,aurekdorniskosksenth
adivinar,aurekdorniskvevisknernaurekresh
adjetivo,aurekdornjenthesktrilliskvevosk
admirar,aurekdornmermiskreshaurekresh
adolescente,aurekdornosklethesksenthcreshesknerntrillesk
adopcion,aurekdornoskpethcreshiskosknern
adorable,aurekdornoskreshaurekbeshlethesk
adormecer,aurekdornoskreshmermeskcresheskresh
adquirir,aurekdornqekuskiskreshiskresh
adulterio,aurekdornusklethtrilleskreshiskosk
adversario,aurekdornveveskreshsenthaurekreshiskosk
afectuoso,aurekforneskcreshtrilluskosksenthosk
aferrarse,aurekforneskreshreshaurekreshsenthesk
aficionado,aurekforniskcreshiskosknernaurekdornosk
afilar,aurekfornisklethaurekresh
afinidad,aurekfornisknerniskdornaurekdorn
afirmar,aurekforniskreshmermaurekresh
afortunado,aurekfornoskreshtrillusknernaurekdornosk
afrodisiaco,aurekfornreshoskdornisksenthiskaurekcreshosk
agasajar,aurekgrekaureksenthaurekjenthaurekresh
agilidad,aurekgrekisklethiskdornaurekdorn
aglomeracion,aurekgreklethoskmermeskreshaurekcreshiskosknern
agotar,aurekgrekosktrillaurekresh
agradecer,aurekgrekreshaurekdorneskcresheskresh
agrietado,aurekgrekreshiskesktrillaurekdornosk
agrupar,aurekgrekreshuskpethaurekresh
aguacate,aurekgrekuskaurekcreshaurektrillesk
aguantar,aurekgrekuskaureknerntrillaurekresh
agudo,aurekgrekuskdornosk
ahogado,aurekherfoskgrekaurekdornosk
ahorro,aurekherfoskreshreshosk
aire,aurekiskreshesk
ajedrez,aurekjentheskdornresheskzerek
ajetreado,aurekjenthesktrillresheskaurekdornosk
ajuar,aurekjenthuskaurekresh
alambre,aureklethaurekmermbeshreshesk
alargado,aureklethaurekreshgrekaurekdornosk
albanil,aureklethbeshaureknerniskleth
alboroto,aureklethbeshoskreshosktrillosk
alcaide,aureklethcreshaurekiskdornesk
alcalino,aureklethcreshaureklethisknernosk
alcance,aureklethcreshaureknerncreshesk
alcohol,aureklethcreshoskherfoskleth
alfabeto,aureklethfornaurekbeshesktrillosk
alfombra,aureklethfornoskmermbeshreshaurek
algodon,aureklethgrekoskdornosknern
alguien,aureklethgrekuskiskesknern
alimentar,aureklethiskmermesknerntrillaurekresh
aliviar,aureklethiskveviskaurekresh
almacen,aureklethmermaurekcreshesknern
almendra,aureklethmermesknerndornreshaurek
almidon,aureklethmermiskdornosknern
almohada,aureklethmermoskherfaurekdornaurek
almuerzo,aureklethmermuskeskreshzerekosk
alojamiento,aureklethoskjenthaurekmermiskesknerntrillosk
alpino,aureklethpethisknernosk
altar,aureklethtrillaurekresh
alternar,aureklethtrilleskreshnernaurekresh
altitud,aureklethtrillisktrilluskdorn
altruismo,aureklethtrillreshuskisksenthmermosk
aluminio,aureklethuskmermisknerniskosk
alusion,aureklethusksenthiskosknern
amaestrar,aurekmermaurekesksenthtrillreshaurekresh
amargura,aurekmermaurekreshgrekuskreshaurek
ambiental,aurekmermbeshiskesknerntrillaurekleth
amigo,aurekmermiskgrekosk
amnistia,aurekmermnernisksenthtrilliskaurek
amo,aurekmermosk
amor,aurekmermoskresh
ampliar,aurekmermpethlethiskaurekresh
anacardo,aureknernaurekcreshaurekreshdornosk
analfabeto,aureknernaureklethfornaurekbeshesktrillosk
analisis,aureknernaureklethisksenthisksenth
anatomia,aureknernaurektrilloskmermiskaurek
anchura,aureknerncreshherfuskreshaurek
ancla,aureknerncreshlethaurek
anecdota,aureknerneskcreshdornosktrillaurek
anfitrion,aureknernfornisktrillreshiskosknern
angulo,aureknerngrekusklethosk
anhelar,aureknernherfesklethaurekresh
animado,aureknerniskmermaurekdornosk
aniversario,aureknerniskveveskreshsenthaurekreshiskosk
anochecer,aureknernoskcreshherfeskcresheskresh
anotar,aureknernosktrillaurekresh
ansiedad,aureknernsenthiskeskdornaurekdorn
antebrazo,aureknerntrilleskbeshreshaurekzerekosk
antena,aureknerntrillesknernaurek
antiguo,aureknerntrilliskgrekuskosk
antipatico,aureknerntrilliskpethaurektrilliskcreshosk
anunciar,aureknernusknerncreshiskaurekresh
anicos,aureknerniskcreshosksenth
anil,aureknerniskleth
apagar,aurekpethaurekgrekaurekresh
aparato,aurekpethaurekreshaurektrillosk
aparecer,aurekpethaurekresheskcresheskresh
apartar,aurekpethaurekreshtrillaurekresh
apego,aurekpetheskgrekosk
apetito,aurekpethesktrillisktrillosk
apio,aurekpethiskosk
aplaudir,aurekpethlethaurekuskdorniskresh
aplicar,aurekpethlethiskcreshaurekresh
apoderarse,aurekpethoskdorneskreshaurekreshsenthesk
aportar,aurekpethoskreshtrillaurekresh
apostol,aurekpethosksenthtrilloskleth
apoyar,aurekpethoskyirtaurekresh
aprender,aurekpethreshesknerndorneskresh
aprobar,aurekpethreshoskbeshaurekresh
apuesto,aurekpethuskesksenthtrillosk
apuntar,aurekpethusknerntrillaurekresh
apurado,aurekpethuskreshaurekdornosk
apuro,aurekpethuskreshosk
aquejar,aurekqekuskeskjenthaurekresh
arana,aurekreshaureknernaurek
arbitrar,aurekreshbeshisktrillreshaurekresh
arbol,aurekreshbeshoskleth
arcano,aurekreshcreshaureknernosk
algoritmos,aureklethgrekoskreshisktrillmermosksenth
aplicacion,aurekpethlethiskcreshaurekcreshiskosknern
articulos,aurekreshtrilliskcreshusklethosksenth
automovil,aurekusktrilloskmermoskveviskleth
calculador,creshaureklethcreshusklethaurekdornoskresh
campesinos,creshaurekmermpethesksenthisknernosksenth
celularcar,creshesklethusklethaurekreshcreshaurekresh
ciudadesan,creshiskuskdornaurekdornesksenthaureknern
colombiano,creshosklethoskmermbeshiskaureknernosk
comentarios,creshoskmermesknerntrillaurekreshiskosksenth
complicado,creshoskmermpethlethiskcreshaurekdornosk
computador,creshoskmermpethusktrillaurekdornoskresh
conocerlos,creshosknernoskcresheskreshlethosksenth
convencido,creshosknernvevesknerncreshiskdornosk
correremos,creshoskreshresheskresheskmermosksenth
cuestiones,creshuskesksenthtrilliskosknernesksenth
culturalis,creshusklethtrilluskreshaureklethisksenth
deportivas,dorneskpethoskreshtrilliskvevaureksenth
descubierta,dornesksenthcreshuskbeshiskeskreshtrillaurek
desencaden,dornesksenthesknerncreshaurekdornesknern
desgraciad,dornesksenthgrekreshaurekcreshiskaurekdorn
despoblada,dornesksenthpethoskbeshlethaurekdornaurek
despreciar,dornesksenthpethresheskcreshiskaurekresh
destrozado,dornesksenthtrillreshoskzerekaurekdornosk
diferentes,dorniskforneskreshesknerntrillesksenth
disculpeme,dornisksenthcreshusklethpetheskmermesk
distanciaa,dornisksenthtrillaureknerncreshiskaurekaurek
documentos,dornoskcreshuskmermesknerntrillosksenth
dominicana,dornoskmermisknerniskcreshaureknernaurek
dormitorios,dornoskreshmermisktrilloskreshiskosksenth
ejemplares,eskjentheskmermpethlethaurekreshesksenth
encendidos,esknerncreshesknerndorniskdornosksenth
encuentros,esknerncreshuskesknerntrillreshosksenth
enfermedad,esknernforneskreshmermeskdornaurekdorn
entrenador,esknerntrillreshesknernaurekdornoskresh
espanolito,esksenthpethaureknernosklethisktrillosk
estadistic,esksenthtrillaurekdornisksenthtrilliskcresh
eventuales,eskvevesknerntrilluskaureklethesksenth
excelentes,eskxeshcreshesklethesknerntrillesksenth
explicando,eskxeshpethlethiskcreshaureknerndornosk
extranjera,eskxeshtrillreshaureknernjentheskreshaurek
fantastica,fornaureknerntrillaureksenthtrilliskcreshaurek
favoritas,fornaurekvevoskreshisktrillaureksenth
femeninos,forneskmermesknernisknernosksenth
festivalde,fornesksenthtrilliskvevaureklethdornesk
fielescria,forniskesklethesksenthcreshreshiskaurek
finalmente,fornisknernaureklethmermesknerntrillesk
fraccionde,fornreshaurekcreshcreshiskosknerndornesk
fueronconm,fornuskeskreshosknerncreshosknernmerm
galvanizad,grekaureklethvevaureknerniskzerekaurekdorn
generacion,grekesknerneskreshaurekcreshiskosknern
gobiernoec,grekoskbeshiskeskreshnernoskeskcresh
gustabaque,grekusksenthtrillaurekbeshaurekqekuskesk
historiasd,herfisksenthtrilloskreshiskaureksenthdorn
hombresdeh,herfoskmermbeshreshesksenthdorneskherf
imaginacio,iskmermaurekgrekisknernaurekcreshiskosk
impermeabl,iskmermpetheskreshmermeskaurekbeshleth
impresione,iskmermpethreshesksenthiskosknernesk
incluidasl,isknerncreshlethuskiskdornaureksenthleth
indiferent,isknerndorniskforneskreshesknerntrill
informacio,isknernfornoskreshmermaurekcreshiskosk
inolvidabl,isknernosklethveviskdornaurekbeshleth
inquietud,isknernqekuskiskesktrilluskdorn
interesant,isknerntrilleskreshesksenthaureknerntrill
intimidadp,isknerntrilliskmermiskdornaurekdornpeth
investigac,isknernvevesksenthtrilliskgrekaurekcresh
juegodepal,jenthuskeskgrekoskdorneskpethaurekleth
jugadoresc,jenthuskgrekaurekdornoskreshesksenthcresh
justificad,jenthusksenthtrilliskforniskcreshaurekdorn
lamentable,lethaurekmermesknerntrillaurekbeshlethesk
latinoamer,lethaurektrillisknernoskaurekmermeskresh
letrasparap,lethesktrillreshaureksenthpethaurekreshaurekpeth
libertador,lethiskbesheskreshtrillaurekdornoskresh
limitacion,lethiskmermisktrillaurekcreshiskosknern
localidade,lethoskcreshaureklethiskdornaurekdornesk
madridista,mermaurekdornreshiskdornisksenthtrillaurek
magnificaa,mermaurekgreknerniskforniskcreshaurekaurek
mandataria,mermaureknerndornaurektrillaurekreshiskaurek
maravillos,mermaurekreshaurekvevisklethlethosksenth
martinezma,mermaurekreshtrillisknerneskzerekmermaurek
menosprecio,mermesknernosksenthpethresheskcreshiskosk
merecidame,mermeskresheskcreshiskdornaurekmermesk
metodologi,mermesktrilloskdornosklethoskgrekisk
mexicanosd,mermeskxeshiskcreshaureknernosksenthdorn
militantes,mermisklethisktrillaureknerntrillesksenth
ministerio,mermisknernisksenthtrilleskreshiskosk
modernidad,mermoskdorneskreshnerniskdornaurekdorn
montaneses,mermosknerntrillaureknernesksenthesksenth
nacionales,nernaurekcreshiskosknernaureklethesksenth
naturaleza,nernaurektrilluskreshaurekletheskzerekaurek
negociosdi,nerneskgrekoskcreshiskosksenthdornisk
ninitasbe,nernisknernisktrillaureksenthbeshesk
notificaci,nernosktrilliskforniskcreshaurekcreshisk
observador,oskbeshsentheskreshvevaurekdornoskresh
ocupacione,oskcreshuskpethaurekcreshiskosknernesk
operativos,oskpetheskreshaurektrilliskvevosksenth
oportunida,oskpethoskreshtrillusknerniskdornaurek
ordenadosa,oskreshdornesknernaurekdornosksenthaurek
organismos,oskreshgrekaureknernisksenthmermosksenth
pactogloba,pethaurekcreshtrilloskgreklethoskbeshaurek
pandillero,pethaureknerndornisklethletheskreshosk
parroquias,pethaurekreshreshoskqekuskiskaureksenth
